axis,x,y,source_points,role
0.6875,4942.637,-5310.477,617,local_frozen_track_geometry_linked_by_relative_distance
0.69,5014.419,-5330.029,617,local_frozen_track_geometry_linked_by_relative_distance
0.6925,5126.417,-5345.504,617,local_frozen_track_geometry_linked_by_relative_distance
0.695,5254.521,-5335.884,617,local_frozen_track_geometry_linked_by_relative_distance
0.6975,5383.226,-5296.889,617,local_frozen_track_geometry_linked_by_relative_distance
0.7,5548.972,-5206.965,617,local_frozen_track_geometry_linked_by_relative_distance
0.7025,5619.212,-5148.471,617,local_frozen_track_geometry_linked_by_relative_distance
0.705,5692.601,-5058.315,617,local_frozen_track_geometry_linked_by_relative_distance
0.7075,5757.903,-4921.8,617,local_frozen_track_geometry_linked_by_relative_distance
0.71,5788.687,-4805.858,617,local_frozen_track_geometry_linked_by_relative_distance
0.7125,5794.804,-4692.428,617,local_frozen_track_geometry_linked_by_relative_distance
0.715,5777.981,-4562.244,617,local_frozen_track_geometry_linked_by_relative_distance
0.7175,5743.895,-4435.537,617,local_frozen_track_geometry_linked_by_relative_distance
0.72,5692.667,-4314.381,617,local_frozen_track_geometry_linked_by_relative_distance
0.7225,5626.771,-4203.434,617,local_frozen_track_geometry_linked_by_relative_distance
0.725,5539.834,-4084.086,617,local_frozen_track_geometry_linked_by_relative_distance
0.7275,5431.818,-3972.602,617,local_frozen_track_geometry_linked_by_relative_distance
0.73,5323.144,-3897.652,617,local_frozen_track_geometry_linked_by_relative_distance
0.7325,5220.128,-3846.653,617,local_frozen_track_geometry_linked_by_relative_distance
0.735,5122.274,-3821.503,617,local_frozen_track_geometry_linked_by_relative_distance
0.7375,4989.745,-3801.329,617,local_frozen_track_geometry_linked_by_relative_distance
0.74,4744.901,-3770.533,617,local_frozen_track_geometry_linked_by_relative_distance
0.7425,4537.012,-3743.575,617,local_frozen_track_geometry_linked_by_relative_distance
0.745,4478.958,-3731.986,617,local_frozen_track_geometry_linked_by_relative_distance
0.7475,4372.548,-3714.419,617,local_frozen_track_geometry_linked_by_relative_distance
0.75,4231.351,-3697.886,617,local_frozen_track_geometry_linked_by_relative_distance
0.7525,4097.834,-3685.538,617,local_frozen_track_geometry_linked_by_relative_distance
0.755,3982.302,-3676.145,617,local_frozen_track_geometry_linked_by_relative_distance
0.7575,3860.019,-3666.74,617,local_frozen_track_geometry_linked_by_relative_distance
0.76,3689.96,-3653.879,617,local_frozen_track_geometry_linked_by_relative_distance
0.7625,3497.768,-3638.898,617,local_frozen_track_geometry_linked_by_relative_distance
0.765,3348.219,-3626.585,617,local_frozen_track_geometry_linked_by_relative_distance
0.7675,3243.355,-3616.867,617,local_frozen_track_geometry_linked_by_relative_distance
0.77,3157.455,-3607.169,617,local_frozen_track_geometry_linked_by_relative_distance
0.7725,3070.329,-3594.783,617,local_frozen_track_geometry_linked_by_relative_distance
0.775,2954.03,-3569.213,617,local_frozen_track_geometry_linked_by_relative_distance
0.7775,2830.49,-3531.946,617,local_frozen_track_geometry_linked_by_relative_distance
0.78,2710.525,-3481.585,617,local_frozen_track_geometry_linked_by_relative_distance
0.7825,2568.208,-3402.399,617,local_frozen_track_geometry_linked_by_relative_distance
0.785,2420.785,-3317.746,617,local_frozen_track_geometry_linked_by_relative_distance
0.7875,2326.214,-3258.104,617,local_frozen_track_geometry_linked_by_relative_distance
0.79,2250.867,-3205.847,617,local_frozen_track_geometry_linked_by_relative_distance
0.7925,2165.11,-3142.087,617,local_frozen_track_geometry_linked_by_relative_distance
0.795,2059.397,-3059.649,617,local_frozen_track_geometry_linked_by_relative_distance
0.7975,1953.449,-2949.662,617,local_frozen_track_geometry_linked_by_relative_distance
0.8,1843.531,-2811.049,617,local_frozen_track_geometry_linked_by_relative_distance
0.8025,1761.515,-2699.348,617,local_frozen_track_geometry_linked_by_relative_distance
0.805,1735.102,-2647.37,617,local_frozen_track_geometry_linked_by_relative_distance
0.8075,1696.143,-2535.079,617,local_frozen_track_geometry_linked_by_relative_distance
0.81,1654.354,-2404.553,617,local_frozen_track_geometry_linked_by_relative_distance
0.8125,1621.489,-2267.437,617,local_frozen_track_geometry_linked_by_relative_distance
0.815,1595.956,-2131.936,617,local_frozen_track_geometry_linked_by_relative_distance
0.8175,1577.149,-1946.96,617,local_frozen_track_geometry_linked_by_relative_distance
0.82,1575.866,-1785.195,617,local_frozen_track_geometry_linked_by_relative_distance
0.8225,1585.075,-1685.046,617,local_frozen_track_geometry_linked_by_relative_distance
0.825,1610.847,-1572.439,617,local_frozen_track_geometry_linked_by_relative_distance
0.8275,1681.137,-1466.802,617,local_frozen_track_geometry_linked_by_relative_distance
0.83,1802.858,-1409.12,617,local_frozen_track_geometry_linked_by_relative_distance
0.8325,1924.513,-1397.252,617,local_frozen_track_geometry_linked_by_relative_distance
0.835,2052.084,-1404.159,617,local_frozen_track_geometry_linked_by_relative_distance
0.8375,2171.184,-1394.112,617,local_frozen_track_geometry_linked_by_relative_distance
0.84,2289.842,-1371.223,617,local_frozen_track_geometry_linked_by_relative_distance
0.8425,2408.5,-1348.335,617,local_frozen_track_geometry_linked_by_relative_distance
0.845,2524.344,-1306.15,617,local_frozen_track_geometry_linked_by_relative_distance
0.8475,2626.235,-1217.727,617,local_frozen_track_geometry_linked_by_relative_distance
0.85,2710.096,-1103.328,617,local_frozen_track_geometry_linked_by_relative_distance
0.8525,2746.617,-998.512,617,local_frozen_track_geometry_linked_by_relative_distance
0.855,2766.968,-865.668,617,local_frozen_track_geometry_linked_by_relative_distance
0.8575,2776.834,-731.119,617,local_frozen_track_geometry_linked_by_relative_distance
0.86,2772.108,-577.132,617,local_frozen_track_geometry_linked_by_relative_distance
0.8625,2749.846,-432.555,617,local_frozen_track_geometry_linked_by_relative_distance
0.865,2721.552,-357.851,617,local_frozen_track_geometry_linked_by_relative_distance
0.8675,2651.324,-249.424,617,local_frozen_track_geometry_linked_by_relative_distance
0.87,2531.79,-142.778,617,local_frozen_track_geometry_linked_by_relative_distance
