axis_index,driver,team,lap,stint,compound,tyre_age,straight_id,max_speed_kph,p95_speed_kph,full_throttle_distance_share,drs_distance_share,acceleration_150_250_kph_per_100m,segment_time_s,segment_distance_m,feature_role
148,ANT,Mercedes,44,2,MEDIUM,12.0,S01,277.6807861328125,276.8279602050781,0.5333333333333333,0.0,,0.9815638736829954,73.51690511813628,observed_straight_speed_control_proxy_not_engine_power_or_drag
148,ANT,Mercedes,44,2,MEDIUM,12.0,S02,296.0,296.0,0.5652173913043478,0.0,,1.428973963651999,115.52656518564271,observed_straight_speed_control_proxy_not_engine_power_or_drag
148,ANT,Mercedes,44,2,MEDIUM,12.0,S03,315.0,314.21166839599607,0.9210526315789473,0.0,45.81459513663475,13.260555831748395,992.4782190948397,observed_straight_speed_control_proxy_not_engine_power_or_drag
148,ANT,Mercedes,44,2,MEDIUM,12.0,S04,294.4443054199219,294.12262573242185,1.0,0.0,,2.93529024218822,231.05313037128542,observed_straight_speed_control_proxy_not_engine_power_or_drag
148,ANT,Mercedes,44,2,MEDIUM,12.0,S05,253.3101806640625,251.66493606567383,1.0,0.0,14.575914221542549,1.987162043305833,131.28018771095762,observed_straight_speed_control_proxy_not_engine_power_or_drag
148,ANT,Mercedes,44,2,MEDIUM,12.0,S06,281.0,280.38514404296876,0.9375,0.0,47.14480260461689,6.570420065457097,414.8453931666261,observed_straight_speed_control_proxy_not_engine_power_or_drag
149,ANT,Mercedes,45,2,MEDIUM,13.0,S01,281.227783203125,280.5153076171875,1.0,0.0,,0.9562993376666398,73.30480296369839,observed_straight_speed_control_proxy_not_engine_power_or_drag
149,ANT,Mercedes,45,2,MEDIUM,13.0,S02,297.0,297.0,0.43478260869565216,0.0,,1.4292266350094032,115.19326180009747,observed_straight_speed_control_proxy_not_engine_power_or_drag
149,ANT,Mercedes,45,2,MEDIUM,13.0,S03,314.0,313.12366943359376,0.9157894736842105,0.0,44.86287316265013,13.08408047873297,989.6148400099283,observed_straight_speed_control_proxy_not_engine_power_or_drag
149,ANT,Mercedes,45,2,MEDIUM,13.0,S04,299.0,298.9422668457031,1.0,0.0,,2.8797401678508727,230.38652360019495,observed_straight_speed_control_proxy_not_engine_power_or_drag
149,ANT,Mercedes,45,2,MEDIUM,13.0,S05,262.28521728515625,259.05345153808594,1.0,0.0,39.81456021930068,1.912837520010371,130.90143386374714,observed_straight_speed_control_proxy_not_engine_power_or_drag
149,ANT,Mercedes,45,2,MEDIUM,13.0,S06,280.9541320800781,279.98927307128906,0.9125,0.0,26.84961998542437,6.180510457023912,413.64853100944094,observed_straight_speed_control_proxy_not_engine_power_or_drag
150,ANT,Mercedes,46,2,MEDIUM,14.0,S01,281.2402648925781,280.77435302734375,1.0,0.0,,0.9499249944492877,72.89056324438036,observed_straight_speed_control_proxy_not_engine_power_or_drag
150,ANT,Mercedes,46,2,MEDIUM,14.0,S02,299.908203125,299.876171875,0.7391304347826086,0.0,,1.3865710008356908,114.54231366974057,observed_straight_speed_control_proxy_not_engine_power_or_drag
150,ANT,Mercedes,46,2,MEDIUM,14.0,S03,317.0,316.0808349609375,0.9421052631578948,0.0,50.41348048142199,13.286602273449736,984.0226037991349,observed_straight_speed_control_proxy_not_engine_power_or_drag
150,ANT,Mercedes,46,2,MEDIUM,14.0,S04,305.0,305.0,1.0,1.0,,2.8635989813862803,229.08462733948113,observed_straight_speed_control_proxy_not_engine_power_or_drag
150,ANT,Mercedes,46,2,MEDIUM,14.0,S05,249.0,248.87249374389648,1.0,0.0,34.719201054637686,2.0444510931584046,130.16172007925064,observed_straight_speed_control_proxy_not_engine_power_or_drag
